disease,category,n_cases,n_non_ret,non_ret_rate,hpoa_annotations
"Spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy",Epilepsy / Neurological,32,0,0.0,39
Joubert syndrome 30,Other,11,0,0.0,30
"Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia",Epilepsy / Neurological,5,0,0.0,32
Skraban-Deardorff syndrome,Other,15,0,0.0,63
"Encephalopathy, neonatal severe, with lactic acidosis and brain abnormalities",Other,3,0,0.0,27
"Immunodeficiency, common variable, 15",Immunodeficiency,10,0,0.0,17
"Rett syndrome, congenital variant",Other,4,0,0.0,48
Al Kaissi syndrome,Other,9,0,0.0,54
Developmental delay with or without epilepsy,Epilepsy / Neurological,15,0,0.0,28
Desmosterolosis,Other,10,0,0.0,48
Tuberous sclerosis-2,Other,8,0,0.0,38
Tuberous sclerosis-1,Other,5,0,0.0,37
"Neurodevelopmental disorder with movement abnormalities, abnormal gait, and autistic features",Intellectual disability,7,0,0.0,43
Noonan syndrome 2,Rasopathy / RAS pathway,37,0,0.0,77
"Neurodevelopmental disorder with motor abnormalities, seizures, and facial dysmorphism",Intellectual disability,5,0,0.0,49
Rubinstein-Taybi syndrome 2,Other,9,0,0.0,43
"Ehlers-Danlos syndrome, classic-like, 2",Marfan / Connective tissue,5,0,0.0,60
MHC class II deficiency 3,Other,8,0,0.0,20
"Thrombocytopenia 13, syndromic",Other,10,0,0.0,25
"Thrombocytopenia 8, with dysmorphic features and developmental delay",Other,7,0,0.0,35
"Neurodevelopmental disorder with hyperkinetic movements, seizures and structural brain abnormalities",Intellectual disability,4,0,0.0,38
Megalencephaly-polydactyly syndrome,Other,3,0,0.0,38
"Neuropathy, hereditary sensory and autonomic, type IIB",Other,4,0,0.0,18
Bardet-Biedl syndrome 5,Other,4,0,0.0,20
Premature ovarian failure 23,Other,4,0,0.0,6
"Neuronopathy, distal hereditary motor, autosomal dominant 11",Other,13,0,0.0,45
Immunodeficiency 120,Immunodeficiency,4,0,0.0,21
"Cutis laxa, autosomal recessive, type ID",Other,4,0,0.0,45
Spermatogenic failure 91,Other,4,0,0.0,6
Alfadhel syndrome,Other,6,0,0.0,28
"Rhizomelic dysplasia, Ain-Naz type",Other,6,0,0.0,38
Thrombocytopenia 11 with multiple congenital anomalies and dysmorphic facies,Other,5,0,0.0,72
Microphthalmia/coloboma 11,Other,14,0,0.0,15
El Hayek-Chahrour neurodevelopmental syndrome,Intellectual disability,9,0,0.0,34
Proteasome-associated autoinflammatory syndrome 6,Other,3,0,0.0,39
Multiple mitochondrial dysfunctions syndrome 7,Mitochondrial,9,0,0.0,51
"Generalized epilepsy with febrile seizures plus, type 12",Epilepsy / Neurological,4,0,0.0,9
Spermatogenic failure 93,Other,3,0,0.0,9
